#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
NC|C029|37.788818|-121.971252|129.0|Evergreen Ct Danville|2009-09-30T18:52:00|
NC|C030|37.154915|-121.609894|268.0|Blue Jay Dr Morgan Hill|2009-10-07T18:45:00|
NC|C031|37.86322|-122.276932|29.0|McGee Av Berkeley|2009-10-20T21:24:00|
NC|C033|37.846699|-122.289543|2.0|Glashaus Lp Emeryville|2009-12-09T19:36:00|
NC|C034|37.5728|-121.963318|15.0|Goodrich Wy Fremont|2010-03-15T22:06:00|
NC|C035|37.969803|-122.026917|23.0|Crawford St Concord|2010-04-08T00:31:00|
NC|C036|37.380241|-121.793114|329.0|Merkley Row, San Jose, CA|2010-04-21T18:57:00|
NC|C038|37.720459|-122.176537|28.0|Hutchings Dr San Leandro|2010-05-04T17:53:00|
NC|C039|37.467072|-121.911598|27.0|Semillon Dr Fremont|2010-05-12T18:08:00|
NC|C041|37.375698|-121.826088|54.0|El Campo Dr San Jose|2010-07-08T18:18:00|
NC|C042|37.822262|-122.127678|150.0|Juniper Wy Moraga|2010-07-13T17:03:00|
NC|C043|37.868481|-122.24855|154.0|Panoramic Way, Berkeley, CA|2010-07-13T21:00:00|
NC|C044|37.730778|-122.231194|-5.0|Maitland Dr Alameda|2010-08-03T16:28:00|
NC|C045|37.749619|-121.96196|138.0|Hawkins Dr San Ramon|2010-08-11T22:14:00|
NC|C046|37.35363|-121.882538|7.0|N 16th St San Jose|2010-08-18T00:01:00|
NC|C047|37.829147|-122.020287|116.0|Rutherford Dr Danville|2010-08-23T18:15:00|
NC|C048|37.575089|-121.991661|15.0|Posada Way Fremont|2010-08-25T17:51:00|
NC|C049|37.7766|-122.278458|9.0|Pacific Av Alameda|2010-08-30T20:31:00|
NC|C050|37.523972|-121.925606|106.0|Festivo Ct Fremont|2010-09-13T17:40:00|
NC|C051|37.746651|-122.238609|4.0|Centre Ct Alameda|2010-09-23T16:51:00|
NC|C052|37.296249|-121.806625|50.0|Regaby Place Ct San Jose|2010-11-09T18:49:00|
NC|C053|37.68539|-121.873352|106.0|Alexander Wy Pleasanton|2010-11-30T19:45:00|
NC|C054|37.271191|-121.824417|57.0|Valleyhaven Wy San Jose|2011-03-10T17:50:00|
NC|C055|37.657452|-122.110352|11.0|Cottonwood Ave, Hayward, CA|2011-03-28T16:57:00|
NC|C056|37.636311|-122.126358|-15.0|Diablo Av Hayward|2011-04-20T18:04:00|
NC|C057|37.95554|-121.697876|24.0|Hedge Av Brentwood|2012-02-02T19:10:00|
NC|C058|37.75642|-122.225761|8.0|Eastshore Dr Alameda|2012-02-16T18:50:00|
NC|C059|37.342571|-121.772369|244.0|Quail Canyon Rd San Jose|2012-03-01T00:30:00|
NC|C060|37.58482|-122.027122|3.0|Lambert Pl Union City|2012-03-08T18:38:00|
NC|C061|37.777912|-122.209702|18.0|42nd Av Oakland|2012-04-12T20:31:00|
NC|C062|37.66753|-121.903427|86.0|Calle Reynoso Pleasanton|2012-04-27T17:17:00|
NC|C064|37.805119|-122.18457|250.0|Brunell Dr Oakland #2|2012-07-02T22:34:00|
NC|C066|37.913239|-122.285843|153.0|Highgate Rd Kensington|2012-11-26T21:36:00|
NC|C067|37.976093|-122.289551|113.0|Fleetwood El Sobrante|2013-02-13T20:50:00|
NC|C068|37.644638|-122.074051|13.0|Mocine Ave Hayward|2013-02-28T18:40:00|
NC|C069|37.647751|-121.896057|83.0|Rotal Creek Pleasanton|2013-04-18T17:55:00|
NC|C070|37.702782|-122.131828|3.0|Dillo St San Leandro|2013-04-23T17:56:00|
NC|C071|37.682144|-122.133217|1.0|Via Corta San Lorenzo|2013-04-29T17:54:00|
NC|C072|37.285805|-121.75589|160.0|Blauer Lane San Jose|2013-05-01T17:44:00|
NC|C073|37.655788|-122.05423|190.0|Carlos Bee Bl Hayward|2013-08-13T21:11:00|
NC|CADB|37.16346|-121.62645|190.0|Anderson Reservoir #4|2001-06-13T00:00:00|
NC|CAG|37.857269|-122.422661|60.0|Angel Island #2|2002-03-15T12:00:00|
NC|CAL|37.450348|-121.800369|251.0|Calaveras Reservoir #2|1984-01-01T00:00:00|
NC|CAO|37.34848|-121.534668|622.0|Arnold Ranch|1984-01-01T00:00:00|
NC|CAP|37.53291|-121.78951|737.0|Apperson Ridge|2019-08-30T00:00:00|
NC|CBP|37.747665|-121.708427|167.0|Brushy Peak|2001-09-26T22:25:00|
NC|CBR|37.816471|-122.063019|580.0|Bollinger Canyon Rd|1984-01-01T00:00:00|
NC|CBS|37.817783|-121.641296|28.0|Byron Hot Springs #2|1984-01-01T00:00:00|
NC|CBZ|37.691116|-121.717201|145.0|Buffer Zone|2004-04-14T16:12:00|
NC|CCOB|37.258984|-121.673119|371.0|Coe Ranch #3|2007-11-15T23:07:00|
NC|CDG|37.385319|-121.283276|420.0|Diablo Grande|2019-09-18T00:00:00|
NC|CDOB|37.729401|-121.833458|139.0|Doolan Road|2000-09-13T16:15:00|
NC|CHR|37.372883|-121.768867|489.0|Mt Hamilton Rd|2004-09-01T00:00:00|
NC|CLCB|37.737865|-122.064865|309.0|Lake Chabot|2004-09-21T19:00:00|
NC|CMC|37.781216|-122.176804|52.0|Mills College|1984-01-01T00:00:00|
NC|CMJ|37.520237|-121.873314|479.0|Mission San Jose|1984-01-01T00:00:00|
NC|CML|37.47752|-121.652939|1055.0|Mount Lewis|1984-01-01T00:00:00|
NC|CMLP|37.448921|-121.833878|371.0|Milpitas|2012-08-20T17:00:00|
NC|CMM|37.455669|-121.494667|1117.0|Mount Mocho|1984-01-01T00:00:00|
NC|CMOB|37.810417|-121.802719|743.0|Morgan Territory|2005-04-26T23:00:00|
NC|CMP|37.357716|-121.318253|760.0|Mikes Peak #2|1984-01-01T00:00:00|
